uvPair,elevation change
"(34504451, 33826567)",-11.300000000000011
"(33826567, 34504451)",11.300000000000011
"(33826567, 33308886)",-6.899999999999977
"(33308886, 33826567)",6.899999999999977
"(6960167568, 375477545)",-0.19999999999998866
"(375477545, 6960167568)",0.19999999999998866
"(375477545, 33363038)",1.8999999999999773
"(33363038, 375477545)",-1.8999999999999773
"(33363038, 187846887)",9.300000000000011
"(187846887, 33363038)",-9.300000000000011
"(187846887, 187846921)",3.1999999999999886
"(187846921, 187846887)",-3.1999999999999886
"(187846921, 187852547)",0.5
"(187852547, 187846921)",-0.5
"(187852547, 697207123)",-14.399999999999974
"(697207123, 187852547)",14.399999999999974
"(697207123, 187849883)",-10.000000000000027
"(187849883, 697207123)",10.000000000000027
"(187849883, 877830841)",4.000000000000028
"(877830841, 187849883)",-4.000000000000028
"(877830841, 877830871)",26.29999999999995
"(877830871, 877830841)",-26.29999999999995
"(877830871, 902014822)",-7.699999999999988
"(902014822, 877830871)",7.699999999999988
"(902014822, 902014909)",-0.30000000000001137
"(902014909, 902014822)",0.30000000000001137
"(902014909, 187852855)",6.300000000000012
"(187852855, 902014909)",-6.300000000000012
"(187852855, 187853251)",-7.199999999999988
"(187853251, 187852855)",7.199999999999988
"(187853251, 187846078)",1.1000000000000227
"(187846078, 187853251)",-1.1000000000000227
"(187846078, 944511281)",6.599999999999965
"(944511281, 187846078)",-6.599999999999965
"(944511281, 944511371)",-0.30000000000001137
"(944511371, 944511281)",0.30000000000001137
"(944511371, 944511379)",-5.0
"(944511379, 944511371)",5.0
"(944511379, 945523342)",-17.599999999999966
"(945523342, 944511379)",17.599999999999966
"(945523342, 954734870)",-17.5
"(954734870, 945523342)",17.5
"(954734870, 1894068489)",-2.300000000000012
"(1894068489, 954734870)",2.300000000000012
"(956548056, 961069980)",-10.400000000000006
"(961069980, 956548056)",10.400000000000006
"(961069980, 961086633)",0.7000000000000172
"(961086633, 961069980)",-0.7000000000000172
"(961086633, 1332535108)",6.799999999999982
"(1332535108, 961086633)",-6.799999999999982
"(1332535108, 961118221)",3.9000000000000057
"(961118221, 1332535108)",-3.9000000000000057
"(961118221, 1068314151)",-5.5
"(1068314151, 961118221)",5.5
"(1068314145, 187871774)",0.4000000000000057
"(187871774, 1068314145)",-0.4000000000000057
"(187871774, 187847654)",21.799999999999986
"(187847654, 187871774)",-21.799999999999986
"(187847654, 187871865)",4.699999999999988
"(187871865, 187847654)",-4.699999999999988
"(187871865, 187845843)",5.800000000000012
"(187845843, 187871865)",-5.800000000000012
"(187845843, 187847759)",25.199999999999992
"(187847759, 187845843)",-25.199999999999992
"(187847759, 187847755)",-14.199999999999989
"(187847755, 187847759)",14.199999999999989
