('59105', [-0.0037701724725383097, -0.022488209690081074, 0.6625031747415413, 0.043779853547864934, -0.13201849088440684, -1.7344298331343413], [18, 3, 1, 3, 0, 4, 4], 0.0, 0.0)
('60326', [-0.0037701724725383097, -0.022488209690081074, -0.02448942014600831, -0.05344056056294425, -0.08213762782212815, -1.7430836472790574], [18, 3, 1, 3, 1, 4, 4], 0.09005919843912125, 0.09005919843912125)
('60349', [-0.0037701724725383097, -0.022488209690081074, -0.2565479074859227, 0.4671742802206327, -0.04040362920433779, -1.1541007669348624], [18, 3, 1, 2, 1, 4, 0], 0.11377742141485214, 0.2038366198539734)
('60324', [0.3668445893726708, -0.022488209690081074, 0.13115188451485715, 0.1602612984425467, -0.4181949558612605, -0.8861743267402974], [20, 3, 1, 4, 0, 0, 4], 0.0, 0.2038366198539734)
('60333', [-0.0037701724725383097, -0.022488209690081074, -0.11109973612778834, 0.17041575011923313, -0.2836095080400292, -0.8720270285215016], [18, 3, 1, 0, 0, 4, 2], 0.0, 0.2038366198539734)
('35990', [-0.0037701724725383097, -0.022488209690081074, 0.331946635505005, 0.11534640497918262, -0.22718812654616521, -0.9054136200001104], [18, 3, 1, 0, 0, 2, 0], 0.0, 0.2038366198539734)
('60332', [0.3668445893726708, -0.022488209690081074, -0.2786020991811916, 0.13828667263945593, -0.1819392081551379, -0.8895579575966004], [20, 3, 1, 3, 1, 0, 0], 0.19714748859405518, 0.40098410844802856)
('60317', [0.3668445893726708, -0.022488209690081074, 0.5758777801601995, 0.052302422462674074, -0.34715261517207685, -0.8745006063699574], [20, 3, 1, 3, 0, 0, 4], 0.0, 0.40098410844802856)
('57435', [-0.0037701724725383097, -0.022488209690081074, 0.9516677982929239, 0.11968895648749946, -0.17684008359591613, -0.8462989262570124], [18, 3, 1, 0, 0, 4, 2], 0.0, 0.40098410844802856)
('6908', [-0.0037701724725383097, -0.022488209690081074, -0.3367347400550298, -0.18980719725474876, -0.3148784557550139, -0.9322596351761346], [18, 3, 1, 0, 0, 2, 0], 0.0, 0.40098410844802856)
('55802', [0.3668445893726708, -0.022488209690081074, 0.23752792473555925, 0.18096243924962777, -0.4517422358261101, -0.888233148045618], [20, 3, 1, 2, 0, 0, 4], 0.01295498013496399, 0.41393908858299255)
('57823', [0.3668445893726708, -0.022488209690081074, -0.09544235032288179, 0.0534374086577704, -0.061881726376170496, -0.9279713588043708], [20, 3, 1, 2, 0, 4, 0], 0.09437929838895798, 0.5083183869719505)
('55803', [0.3668445893726708, -0.022488209690081074, -0.3221966502944056, -0.10478472381620584, -0.34404398691278576, -1.190351679021529], [20, 3, 1, 2, 0, 0, 4], 0.0, 0.5083183869719505)
('57521', [0.3668445893726708, -0.022488209690081074, 0.30728732576263246, 0.04372267530096604, 0.07671681882395322, -1.0038274364024051], [20, 3, 1, 2, 0, 4, 0], 0.0, 0.5083183869719505)
('57524', [0.3668445893726708, -0.022488209690081074, -0.6169264369757989, 0.04765749954460941, -0.2641927590942649, -0.8907361418809814], [20, 3, 1, 3, 1, 0, 0], 0.11091103404760361, 0.6192294210195541)
('55804', [0.3668445893726708, -0.022488209690081074, 0.8110598573936318, -0.029583323433252078, 0.07811282318113495, -0.8019499782173971], [20, 3, 1, 3, 0, 0, 4], 0.0, 0.6192294210195541)
('57986', [0.3668445893726708, -0.022488209690081074, 0.686726364988934, 0.07005614825976207, -0.3270727364801176, -0.6886962993198905], [20, 3, 1, 3, 0, 4, 0], 0.0007720142602920532, 0.6200014352798462)
('55690', [0.3668445893726708, -0.022488209690081074, 0.07011371349497789, -0.20759492163093873, -0.6394024186925457, -0.8131744004949437], [20, 3, 1, 2, 0, 0, 0], 0.010985501110553741, 0.6309869363903999)
('55691', [0.3668445893726708, -0.022488209690081074, 0.12257564104189297, 0.07511806544271162, -0.63843152589219, -0.8030602346055139], [20, 3, 1, 2, 0, 0, 4], 0.0, 0.6309869363903999)
('55692', [0.3668445893726708, -0.022488209690081074, 0.9120365990795023, -0.05617625063496191, -0.217211289696902, -0.8901135266104859], [20, 3, 1, 2, 0, 4, 0], 0.0, 0.6309869363903999)
('55805', [0.3668445893726708, -0.022488209690081074, -3.0053116533514266, 0.04382638798199929, 0.4432471174703671, -1.0018669827455964], [20, 3, 1, 2, 1, 0, 4], 0.22565937042236328, 0.8566463068127632)
('55683', [0.3668445893726708, -0.022488209690081074, 0.131315429325468, 0.08250818106083706, -0.10567043085195381, -0.8304773082878022], [20, 3, 1, 2, 0, 4, 0], 0.0, 0.8566463068127632)
('55689', [0.3668445893726708, -0.022488209690081074, -0.04592190958248596, 0.04385625621072633, -0.04082984782250982, -0.819241917020131], [20, 3, 1, 2, 0, 0, 4], 0.0802251473069191, 0.9368714541196823)
('61808', [0.3668445893726708, -0.022488209690081074, 0.7164741221367559, 0.04381669560800668, -0.13629174767958618, -0.8358822629569734], [20, 3, 1, 3, 0, 4, 4], 0.0010366588830947876, 0.9379081130027771)
('55686', [0.3668445893726708, -0.022488209690081074, 0.6096399244678602, 0.0837987793088891, -0.19843220808637674, -0.8213715782792264], [20, 3, 1, 2, 0, 4, 0], 0.06239927560091019, 1.0003073886036873)
('55969', [0.3668445893726708, -0.022488209690081074, -0.10926130687370555, 0.028893069413029174, -0.5465819672067899, -0.837400620517262], [20, 3, 1, 2, 0, 0, 4], 0.0, 1.0003073886036873)
('55971', [0.3668445893726708, -0.022488209690081074, -0.04209542497101354, 0.04871461756763079, -0.2963595335607755, -0.8454449990072229], [20, 3, 1, 2, 0, 4, 0], 0.0561964213848114, 1.0565038099884987)
('17403', [0.3668445893726708, -0.022488209690081074, 0.17626125493774503, 0.00899753145797796, -0.6102468510868867, -0.8892989522261893], [20, 3, 1, 2, 0, 0, 4], 0.0, 1.0565038099884987)
('55972', [-0.0037701724725383097, -0.022488209690081074, 0.7286158744595724, 0.15061492821508102, -0.3153434215202924, 0.3553443587867703], [18, 3, 1, 0, 0, 4, 0], 0.0, 1.0565038099884987)
('11085', [0.7374593512178792, -0.022488209690081074, -0.12442573846222452, 0.6089025479090564, -0.5614985117814653, -1.7636771695106768], [20, 3, 1, 2, 1, 0, 0], 0.0, 1.0565038099884987)
('42055', [0.7374593512178792, -0.022488209690081074, -0.8434325200007224, -0.026814067006792598, -0.2666670412023544, 1.7284456850293406], [20, 3, 1, 2, 0, 0, 0], 0.02296743541955948, 1.0794712454080582)
('55576', [0.7374593512178792, -0.022488209690081074, -0.7520689654806313, 0.07627665530521668, 0.593172007300408, 1.6015273629230564], [20, 3, 1, 2, 0, 0, 4], 0.15553194284439087, 1.235003188252449)
('12644', [0.7374593512178792, -0.022488209690081074, 0.5380026578494067, 0.24697825364398912, 0.1645875990321838, 1.721700041472128], [20, 3, 1, 2, 0, 4, 0], 0.10057347267866135, 1.3355766609311104)
('55578', [0.7374593512178792, -0.022488209690081074, -0.44359097567713257, 0.036431401136266216, -0.25164975404520223, -1.7507208782595387], [20, 3, 1, 2, 0, 0, 4], 0.0, 1.3355766609311104)
('21833', [0.7374593512178792, -0.022488209690081074, -0.7415000270811806, -0.062251503468429836, 0.1820359929049355, 1.561598304243148], [20, 3, 1, 2, 1, 4, 4], 0.12537333369255066, 1.460949994623661)
('53901', [0.7374593512178792, -0.022488209690081074, 0.018982182386183072, 0.02921085437545025, -0.003911566059390384, 1.7079316740877957], [20, 3, 1, 2, 1, 4, 0], 0.058005526661872864, 1.518955521285534)
